title,full_text,link,date
После смерти ИП сведения об обороте алкоголя в его бизнесе не фиксируют в ЕГАИС,"Как сообщает Росалкогольрегулирование в письме от 23.09.2022 № г-4192/02-06, сведения о снятии ИП с учета — это основание для приостановления фиксации сведений об обороте алкогольной продукции в ЕГАИС.
Такая норма заложена в п. 44 правил ведения ЕГАИС, утвержденных постановлением Правительства от 31.12.2020 № 2466.",https://www.klerk.ru/buh/news/537149/,2022-10-07
Порядок сверки расчетов по налогам отменили. Но провести сверку все равно можно,"До недавнего времени был временный порядок сверки расчетов по налогам. Он был утвержден письмом ФНС от 09.03.2021 № АБ-4-19/2990. Там, например, говорилось, что сверку можно провести только за 3 года.
Но Верховный суд это письмо отменил. Там указали, что письмо — несерьезный документ.
Вместо того, чтобы разработать нормальный нормативный акт и опубликовать его, как положено, ФНС выпустила письмо, которое должны соблюдать налоговики на местах.
Получается, что сейчас нет порядка сверки расчетов. Но проводить ее все равно можно.
У налогоплательщиков есть такое право (пп. 5.1 п.1 ст. 21 НК РФ).
У налоговиков есть такая обязанность (пп. 11 п. 1 ст. 32 НК РФ).
Таким образом при проведении сверки надо ориентироваться на нормы НК.
Такое разъяснение дает ФНС в письме от 29.09.2022 № АБ-4-19/12938@.",https://www.klerk.ru/buh/news/537147/,2022-10-07
С 1 марта 2023 года можно будет оформлять электронные договоры фрахтования,"Проект приказа ФНС опубликован на федеральном портале.
Применять этот формат можно будет с 1 марта 2023 года.
В электронном договоре будет два файла.
Файл обмена
Состав файла
файл обмена информации фрахтователя
файл обмена информации фрахтовщика
Также к 1 марта 2023 года разработают формат  электронной заявки на грузоперевозку.
С 1 сентября в ГИС ЭПД можно оформлять электронную транспортную накладную, электронную сопроводительную ведомость и электронный заказ-наряд.
",https://www.klerk.ru/buh/news/537141/,2022-10-07
Получить новую профессию можно еще год. Программу бесплатного переобучения продлили,"В 2022 году учатся или уже закончили обучение по программам более 132 тыс. человек, сообщается в официальном Telegram-канале Минтруда.
Кто может получить новую профессию:
Подать заявку на обучение можно на портале «Работа России».
Актуальные знания можно получить и в центре обучения Клерка.",https://www.klerk.ru/buh/news/537128/,2022-10-07
Штраф за неуплату НДФЛ можно снизить или вообще добиться его отмены,"Обсуждение затеяли наши подписчики в канале «Красный уголок бухгалтера».
У компании не было денег на счете, и поэтому НДФЛ перечислили с опозданием. Налоговики оштрафовали фирму на 34 тыс. рублей.
Коллеги советуют писать ходатайство о снижении штрафа. Аргументы — нарушение совершено впервые, финансовое положение компании тяжелое, ущерб государству не нанесен.
Коллеги советуют ссылаться на п.3 статьи 114 НК, по которому при наличии хотя бы одного смягчающего ответственность обстоятельства размер штрафа подлежит уменьшению как минимум в 2 раза.
Впрочем, есть еще п. 2 ст. 123 НК, по которому штрафа вообще можно избежать.
Если налоговый агент сам уплатил долг по НДФЛ и пени по нему до того, как претензии по неуплате предъявили налоговики, то штрафа не будет.
Разъяснение по этой норме есть в письме ФНС от 02.08.2022 № ЕА-4-15/10852@.
В этом письме ФНС сетует, что налоговики выносят необоснованные решения о штрафах и нарушают права и законные интересы налогоплательщиков.
Поэтому ФНС дала поручение налоговикам на местах проверять, уплачен ли налог и пени на момент составления акта. Если уплата есть, то штрафа быть не должно.",https://www.klerk.ru/buh/news/537137/,2022-10-07
Кредиторы начали подавать уведомления о банкротстве должников. За 5 дней подали уже 2500 сообщений,"За весь октябрь 2021 года было подано только 2306 обращений, пишет «Forbes».
Со 2 по 6 октября кредиторы подали уже 2205 уведомлений в отношении юрлиц и 183 – против ИП.
Факт публикации уведомления еще не значит, что банкротное дело будет возбуждено.
Часть из них могут урегулировать в досудебном порядке.
Напомним, что с 1 октября перестал действовать мораторий на банкротство физических и юридических лиц.",https://www.klerk.ru/buh/news/537122/,2022-10-07
С 1 сентября действует новый порядок расследования несчастных случаев на производстве,"В понедельник в 11:00 мск пройдет вебинар «Действия работодателя в нестандартных ситуациях. Несчастные случаи на производстве».
На вебинаре разберемся, как:
Вы так же узнаете, какие меры вправе предпринять работодатель в рамках действующих санкций для сохранения рабочих мест и производства.",https://www.klerk.ru/buh/news/537129/,2022-10-07
Сеть магазинов OBI готовится к ребрендингу. Сделать это нужно в течение полугода,"Компанию могут назвать HOBI или OBBI, сообщает «Ъ».
В марте OBI приостановили работу в России.
В апреле компания объявила о передаче российского бизнеса в доверительное управление ГК МАХ.
В конце апреля все торговые точки возобновили свою работу.
Российские собственники OBI подали заявку на регистрацию товарного знака HOBI, а в начале октября – OBBI.
Компания уже зарегистрировала домен h-obi.ru.",https://www.klerk.ru/buh/news/537110/,2022-10-07
Сбербанк уже оформляет кредитные каникулы для военнослужащих,"Клиенты-военнослужащие могут оформить отсрочку по ипотечным и потребительским кредитам, кредитным картам на срок службы и на 30 дней после ее окончания, сообщается в пресс-службе Сбера.
Для подачи заявки можно обратиться в банк или заполнить заявку в приложении Сбербанк Онлайн.
Кто может воспользоваться кредитными каникулами:
Во время льготного периода клиенты могут продолжать платить по кредиту.
Такие платежи будут направлены на погашение основного долга.
Президент сегодня подписал закон о кредитных каникулах.",https://www.klerk.ru/buh/news/537135/,2022-10-07
Региональных мусорных операторов и водителей мусоровозов могут освободить от частичной мобилизации,"Минприроды направило письма властям регионов с просьбой освободить от ЧМ работников региональных мусорных операторов и водителей мусоровозов, пишет «ТАСС».
Мусорные операторы – непрерывно действующие и системообразующие организации, которые оказывают влияние на социальную стабильность региона.
Об отсрочке для своих сотрудников попросили фитнес-клубы, авиакомпании и другие.",https://www.klerk.ru/buh/news/537103/,2022-10-07
Работодатели могут бронировать должность без согласия работника,"На «Клерке» прошел крутой вебинар про оформление работников в период частичной мобилизации. Если вы пропустили, вебинар можно посмотреть в записи.
Елена Пономарева, эксперт по трудовым отношениям и консультант по управлению рассказала про:
Посмотреть полную программу вебинара >>>",https://www.klerk.ru/buh/news/537126/,2022-10-07
При переходе на АУСН с 2023 года будет автоматический отказ от УСН,"При переходе на автоматическую упрощенку от обычной надо отказаться.
Но составлять уведомления об отказе от УСН по форме № 26.2-3 не надо.
Отказ от УСН будет в личном кабинет при подаче уведомления о переходе на АУСН.
Его надо направить через личный кабинет до 31 декабря 2022 года, чтобы применять АУСН с 2023 года.
При этом, при экранной формы уведомления о переходе в ЛК ему предлагается проставить признак отказа от применения УСН с даты начала применения АУСН. Там будут значения «ДА», «НЕТ».
Надо выбрать «ДА».
Кроме того, подать уведомление о переходе на АУСН за налогоплательщика может уполномоченный банк, если клиент дал такое согласие.
Полный список причин, когда применять АУСН нельзя, смотрите в нашей таблице.
",https://www.klerk.ru/buh/news/537133/,2022-10-07
Спецразрешение для крупногабаритного транспорта можно получить на Госуслугах,"Все зависит от маршрута следования транспорта, сообщается в официальном Telegram-канале Минцифры.
Спецразрешения можно получить:
Какой транспорт относят к категории тяжеловесного и крупногабаритного:
Чтобы подать заявление нужно:
Если транспорт тяжеловесный, то придется оплатить еще и компенсацию вреда.
Квитанция поступит также на Госуслуги.
Новых услуг на портале становится все больше. Вчера мы писали, что справки из ЗАГСа теперь можно заказывать на Госуслугах. Появился новый сервис и для автовладельцев.",https://www.klerk.ru/buh/news/537127/,2022-10-07
