title,full_text,link,date
Разъяснили особенности учета занятости добровольцев и мобилизованных работников,"Росстат указал, что мобилизованных и добровольно оказывающих содействие ВС РФ сотрудников на период прохождения военной службы или действия контракта включают в списочную численность персонала как целые единицы. В среднесписочную численность они не входят.
В отчет П-4 (НЗ) ""Сведения о неполной занятости и движении работников"" таких сотрудников вносят в численность работников списочного состава на конец отчетного квартала (строка 11) и не включают в выбывших (строка 07).
В П-4 ""Сведения о численности и заработной плате работников"" мобилизованных и добровольцев в среднесписочной численности (графа 2) не отражают. Начисленные им после приостановления трудового договора выплаты, которые учитывают в фонде зарплаты и указывают, например, в формах П-1 и П-2, следует представить в графе 10.
Сведения о тех, кого приняли по срочному трудовому договору на место мобилизованных либо добровольно оказывающих содействие ВС РФ работников, включают как в списочную, так и в среднесписочную численность, а их выплаты — в фонд зарплаты работников списочного состава.
",https://www.consultant.ru/legalnews/20519/,2022-10-6
В окончательном чтении приняли поправки об ипотечных ценных бумагах,"Предлагают размещать деньги в составе ипотечного покрытия облигаций, которые эмитирует ипотечный агент, на открытых ему залоговых счетах. Реквизиты укажут в решении о выпуске ценных бумаг. Зачислять иные суммы на эти счета хотят запретить (абз. 2 пп. ""в"" п. 7 ст. 1 проекта).
По проекту залогодержателями прав по договору залогового счета станут владельцы облигаций с ипотечным покрытием. Списывать деньги с таких счетов разрешат только по распоряжению эмитента с согласия специализированного депозитария. Название последнего укажут в договоре. Депозитарий сможет получать информацию о счете: об остатке средств, операциях, ограничениях и т.д. (абз. 3, 4 пп. ""в"" п. 7 ст. 1 проекта).
Эмитенту позволят использовать деньги со счета только на ряд целей: исполнить обязательства по облигациям, выплатить вознаграждение депозитарию и др. (абз. 5 пп. ""в"" п. 7 ст. 1 проекта).
Уточнят, как открывать залоговый счет и менять его реквизиты (п. 9 ст. 1 проекта).
Списания с такого счета нельзя будет оспаривать как сделки с предпочтением при банкротстве кредитной организации. Речь идет, в частности, о выплатах для досрочного погашения облигаций в соответствии с решением об их выпуске (п. 2 ст. 4 проекта).
В проекте есть и другие изменения. Планируют, что большинство поправок заработает через 180 дней после их опубликования в качестве закона (п. 1 ст. 6 проекта).
",https://www.consultant.ru/legalnews/20515/,2022-10-6
Стали известны возможные коэффициенты-дефляторы на 2023 год,"Минэкономразвития выставило на общественное обсуждение проект с такими коэффициентами-дефляторами на следующий год:
Таким образом, если документ примут, то, например, сохранить право применять УСН получится, если доходы в 2023 году будут не больше 251,4 млн руб.
",https://www.consultant.ru/legalnews/20507/,2022-10-6
Подготовили поправки к перечням КБК на 2022 год и плановый период,"Проект проходит общественное обсуждение до 17 октября включительно.
В списки кодов доходов бюджетов и целевых статей расходов федерального бюджета внесут коды по ряду межбюджетных трансфертов, иным затратам. Например, добавят КБК для трансфертов на выплаты поощрения победителям конкурса ""Лучший казачий кадетский корпус"".
Уточнят назначение нескольких действующих кодов.
",https://www.consultant.ru/legalnews/20512/,2022-10-6
Планируют смягчить требования к энергоэффективности телевизоров при госзакупках,"Предложили при приобретении телевизоров с кодом ОКПД2 26.40.20 не применять требование о наличии класса энергоэффективности не ниже первых 2 наивысших.
В приказе Минэкономразвития о таких требованиях, в том числе для телевизоров, планируют заменить класс энергоэффективности этих товаров с ""А++"" и выше на ""А"" и выше.
Проекты проходят общественное обсуждение.
",https://www.consultant.ru/legalnews/20513/,2022-10-6
Расходы на содержание простаивающего здания за счет ОМС суд признал нецелевыми,"Медорганизация оплачивала из средств ОМС услуги по охране недостроенного объекта. Контролеры и суд напомнили: по правилам ОМС затраты на содержание недвижимости относят к необходимым, только если ее используют при оказании медпомощи.
В июне мы рассказывали об аналогичном решении 17-го ААС, а в сентябре — о том, что суды не разрешили оплачивать за счет ОМС инвестиционные расходы.
",https://www.consultant.ru/legalnews/20518/,2022-10-5
"Запустили цифровую экосистему нацпроекта ""Производительность труда""","Правительство сообщило, что платформа ""Эффективность.рф"" позволяет начать цифровизацию предприятия без найма дорогостоящих специалистов и создания собственных вычислительных мощностей.
На сайте можно пройти анкетирование и проконсультироваться с экспертом. Это поможет определить уровень ""цифровой зрелости"" среди конкурентов отрасли со схожим оборотом и численностью сотрудников. Услугу предоставляют бесплатно.
Кроме того, эксперты помогут оформить закупку ПО и заявку на софинансирование, субсидию или грант.
Экосистема доступна для предприятий с оборотом более 400 млн руб. из отраслей торговли, строительства, сельского хозяйства, транспортной сферы и обрабатывающей промышленности. Доля иностранного участия не должна превышать 50%.
",https://www.consultant.ru/legalnews/20517/,2022-10-5
Изменили правила отчетности о дополнительном образовании медиков и обновлении оборудования,"ФФОМС утвердил новый порядок отчетности об использовании средств нормированного страхового запаса. Изменили и форму отчетности. Приказ вступит в силу 15 октября и заменит действующий.
Медорганизации будут направлять отчеты через ГИС ОМС ежеквартально до 15-го, а не до 5-го числа месяца, следующего за отчетным периодом. Для этого нужна усиленная квалифицированная ЭП.
В новой форме придется отражать больше сведений о мероприятиях по повышению квалификации сотрудников, о покупке и ремонте медоборудования за счет ОМС. В частности, нужно вносить информацию:
В разделе о дополнительном образовании больше не надо указывать число медработников (кого планировали направить на обучение и кто его прошел).
Из отчетности исключили таблицу 2 для сведений об использовании предоставленных средств.
",https://www.consultant.ru/legalnews/20516/,2022-10-5
"Ошибки в данных физлиц — недостоверные сведения, за которые штрафуют, подтвердил суд","Организация представила в инспекцию справки 2-НДФЛ. Налоговики обнаружили в них ошибки: не было ИНН налогоплательщиков, даты рождения указали как 01.01.1900. Организацию оштрафовали. Она обратилась в суд.
Арбитры поддержали контролеров:
Отметим, ФНС разъясняла, что ошибки в ИНН физлица, дате рождения приводят к штрафу за недостоверные сведения.
",https://www.consultant.ru/legalnews/20506/,2022-10-5
"Суд поддержал работодателя, который согласовал перенос отдыха из-за болезни на удобные для себя даты","Работодатель не обязан переносить отпуск сотрудника из-за болезни на те даты, которые тот просит. Такой вывод сделали суды. Они учли, что организация не отказала в переносе отпуска, но определила для этого период, когда выходил заменяющий сотрудник.
Продлить или перенести отпуск из-за больничного поможет готовое решение.
",https://www.consultant.ru/legalnews/20514/,2022-10-5
